Model,Type,Features,Features_Used,Accuracy,Precision,Recall,F1-Score,AUC
Baseline,random_forest,technical_only,17,0.5324074074074074,0.5714285714285714,0.576271186440678,0.5738396624472574,0.5057938429609132
Lstm,deep_learning,sentiment_enhanced,50,0.49074074074074076,0.5425531914893617,0.4322033898305085,0.4811320754716981,0.49792459356624
Gru,deep_learning,sentiment_enhanced,50,0.5,0.5454545454545454,0.5084745762711864,0.5263157894736842,0.487720511933587
Rnn,deep_learning,sentiment_enhanced,50,0.4722222222222222,0.5208333333333334,0.423728813559322,0.4672897196261682,0.4937737806987202
Ensemble,ensemble_dl,sentiment_enhanced,50,0.4675925925925926,0.5148514851485149,0.4406779661016949,0.4748858447488584,0.48201314424074715
