Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2023-01-03,124.05939483642578,125.68050613035881,121.61281793291214,122.14987250994204,35528500
2023-01-04,126.67506408691406,128.34589820589886,125.16335305233501,126.68500406309886,32397100
2023-01-05,126.24739837646484,127.81877947591597,123.86049162591854,125.44181270064794,25447100
2023-01-06,129.31060791015625,129.6189141048586,125.35231967251656,128.2663337333473,27584500
2023-01-09,128.76361083984375,132.224619655479,128.57464505477242,130.44439260111574,26649100
2023-01-10,132.264404296875,132.71194603562412,126.45626373052198,126.57560414737875,28684400
2023-01-11,132.16493225097656,133.11970102877387,129.6288423862519,130.24546989556188,25423000
2023-01-12,135.964111328125,136.92880500697495,131.0411065900665,132.7119483326621,30757700
2023-01-13,136.2326202392578,136.6403868835783,134.10429688361904,134.23359244780255,22423800
2023-01-17,134.62144470214844,136.00385992914178,133.5175005154463,135.43696269856312,21147600
2023-01-18,132.2942352294922,136.50115172193628,132.07543435513,135.0690060626696,20215500
2023-01-19,135.40713500976562,136.70004501074817,131.4190197551415,131.76711616232177,28625200
2023-01-20,138.60955810546875,139.1764553293684,133.87553530075945,135.14855009153058,28688600
2023-01-23,142.48831176757812,142.97562857637726,137.90346368613808,138.53001603681352,27470100
2023-01-24,142.3590087890625,144.2088609922605,140.5887219164417,140.9169232142469,21970200
2023-01-25,140.72796630859375,142.3888528531503,139.54445660201168,140.44949522181398,26622000
2023-01-26,146.49632263183594,146.70516835699348,142.51814694692817,143.61213615495626,25482100
2023-01-27,150.91209411621094,152.354179709988,146.58582215934445,147.43119052924928,35771900
2023-01-30,146.2576141357422,150.29545968296702,146.14821370672965,148.59479822122188,28040100
2023-01-31,148.15721130371094,149.06224992725598,146.7151256321657,147.14277224022598,29842100
2023-02-01,152.28456115722656,152.74205804061552,146.25762739120842,147.2223362138785,55661000
2023-02-02,187.74005126953125,196.08427376205427,179.17702791077238,182.3794603978227,150475700
2023-02-03,185.51226806640625,195.69640282478898,181.89212896302806,182.46896623245266,76809700
2023-02-06,185.04483032226562,189.65951327947957,184.50778330883577,185.5122671559616,42483800
2023-02-07,190.57447814941406,192.72269640010117,183.39387069750305,184.5674402730861,47080700
2023-02-08,182.42918395996094,189.78881807322674,181.9219720239577,188.96334479856867,36139100
2023-02-09,176.94923400878906,185.6315972775948,176.30278659828446,185.11444541940486,37118800
2023-02-10,173.19979858398438,177.91394171046065,172.40417567575625,175.38780710821445,33433600
2023-02-13,178.4510040283203,180.01244522976373,174.8607151312021,177.2476144121008,31463200
2023-02-14,178.500732421875,180.519655296545,174.92038353736064,176.19339849748158,24034600
2023-02-15,176.19338989257812,177.21776883115425,174.37337284889983,175.45742198964007,25308900
2023-02-16,171.4991455078125,174.89054370979864,170.85268289401424,171.80745167607762,25827500
2023-02-17,171.93675231933594,172.23510334549107,168.7740948622728,169.29126193350072,24171300
2023-02-21,171.14111328125,177.19788188919435,170.94220753967159,173.3589418921432,34592600
2023-02-22,170.18634033203125,171.81739165411605,168.76414989761616,170.13662527949867,22433200
2023-02-23,171.101318359375,172.74232482757904,168.45584323504272,171.06154328235866,20017800
2023-02-24,169.4603271484375,169.7885284422366,166.74522666859846,167.7198753990857,19791300
2023-02-27,168.61492919921875,172.17539740247975,168.13755248092235,170.94217294891973,19277000
2023-02-28,173.98550415039062,176.58126421491298,170.93224723604658,170.96208233760723,46051100
2023-03-01,172.4738006591797,176.87963801065584,172.10582427375442,173.63741519667778,30998400
2023-03-02,173.57774353027344,174.05512034728562,170.49465140776238,171.43948024163652,17352000
2023-03-03,184.23924255371094,185.60176273019087,176.08398626930133,177.94377835550787,45877700
2023-03-06,183.89114379882812,188.62518203132487,183.63256787226405,186.974235669983,33209400
2023-03-07,183.50326538085938,189.32135250054276,183.0059934962893,187.9687723674908,36701500
2023-03-08,183.9607696533203,184.2491806808341,180.35057076874162,181.87222158320134,19432400
2023-03-09,180.69866943359375,187.89915699198696,179.31625412813972,185.33324728589136,26582800
2023-03-10,178.5305633544922,183.76187378535178,177.82444571017825,180.02237914874613,25665000
2023-03-13,179.91299438476562,182.7772858153449,173.86618052659927,176.9890479208417,24728000
2023-03-14,192.96141052246094,193.2597767257053,185.54210639754518,186.55654541836185,41642600
2023-03-15,196.67105102539062,196.700886127559,189.7987492159527,191.8972373964941,42123600
2023-03-16,203.81185913085938,204.63733232812294,195.0200953445505,197.1782536275258,50447100
2023-03-17,194.54273986816406,200.7984145464447,194.3637140684603,199.46572931474313,50141100
2023-03-20,196.73072814941406,198.27227424298704,192.58348187125094,197.3970707471705,25186300
2023-03-21,201.0570068359375,202.4394223074647,196.86997016539956,202.09132585775956,31827000
2023-03-22,198.71981811523438,206.23856771811555,198.5805825735342,201.3951436866139,28477800
2023-03-23,203.1654052734375,206.745769006442,201.04702213344865,201.7332597802357,27389700
2023-03-24,204.88597106933594,206.4474121828051,202.439401720589,204.0604978608537,27716400
2023-03-27,201.73326110839844,204.73678763888594,200.26134053093202,203.6925136119232,18527200
2023-03-28,199.5850372314453,199.93313362247048,196.8202067544692,199.05793024540168,19127300
2023-03-29,204.22958374023438,204.59756010509034,201.43490280066078,202.44934176723646,18851100
2023-03-30,206.70599365234375,206.9546296190663,201.7133943669399,202.2703365043128,22608300
2023-03-31,210.78363037109375,211.01237121219066,205.64184038095976,206.1092772142024,25440300
2023-04-03,211.90745544433594,212.32516202064002,207.06401680310864,207.70052423017208,17924600
2023-04-04,213.5484619140625,215.06017285222143,211.3803483767054,212.22571674011533,21026400
2023-04-05,210.3261260986328,214.01589040585796,208.79453526907974,212.98155631855872,19396600
2023-04-06,214.92091369628906,215.75632681679824,207.51155050628213,208.10828283552212,26104400
2023-04-10,213.57830810546875,214.48334672024453,209.5106270903151,213.53853302566515,16106100
2023-04-11,212.68321228027344,214.84137065315744,212.2456105501891,214.3043084660412,16710100
2023-04-12,212.83236694335938,215.65686761019924,211.42011660993944,213.66778006867253,18972200
2023-04-13,219.1477508544922,219.9433738210638,214.51317271408945,214.5529477922039,23310400
2023-04-14,220.2815399169922,220.8981522957358,216.3630344154134,216.69123573248095,21591200
2023-04-17,217.66587829589844,219.77430650515893,215.9453216001441,218.59079683751477,15481900
2023-04-18,216.701171875,219.23726187981273,215.0303453909805,218.71015482172072,12281000
2023-04-19,214.5231170654297,216.14422848517958,211.76822620210035,212.30528840857968,15898100
2023-04-20,211.90745544433594,215.56736935606725,211.60908926825186,212.3152068702656,16475400
2023-04-21,211.7284393310547,212.24560638149993,208.43650162012466,209.06306910094227,17717200
2023-04-24,211.6289825439453,212.75282196856398,209.56034465738014,212.5141259775595,15750900
2023-04-25,206.4176025390625,210.10735214319362,205.99989589570066,209.6697655469597,19198200
2023-04-26,208.25747680664062,212.94178503282527,207.74032492932005,211.3405688220229,41992700
2023-04-27,237.25839233398438,240.37131962310883,235.47816541537793,238.58113755307662,71196500
2023-04-28,239.00877380371094,239.11815905342863,234.4637013438807,237.70590867551792,39554000
2023-05-01,241.85316467285156,242.66869790909783,235.16984400340442,237.31804717279988,29143900
2023-05-02,237.93466186523438,243.58366331013542,237.68602591764824,241.85315165174362,24350100
2023-05-03,235.7367401123047,240.43098854847284,231.48009342153898,238.16342966369243,34463900
2023-05-04,232.24588012695312,236.90033798104923,231.65908773208787,234.77201478549054,17889400
2023-05-05,231.50990295410156,233.39953009086227,228.5958969244449,230.97285598303856,27000500
2023-05-08,231.9972381591797,234.33440700082437,229.013606737522,230.15732604561043,16400500
2023-05-09,232.0966796875,234.59299431566043,229.81918108297202,230.19711257978477,16865600
2023-05-10,231.8083038330078,235.4582782792501,229.46117952275918,234.8814409717994,19119000
2023-05-11,234.5034942626953,236.9103038013753,231.03254584161255,231.77845374994178,20449000
2023-05-12,232.53428649902344,235.66710861542305,230.18716249322537,235.4483077625113,16161400
