Date,close,high,low,open,volume,adjclose,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2020-12-22,265.6327209472656,270.0186630949137,263.1861515037109,270.0186630949137,17312900,265.6327209472656,284.09668,244.29974365234375,-21.332977294921875,0.0
2021-01-06,261.8733215332031,266.2890983655577,258.59133918397066,260.5704716032722,24354100,261.8733215332031,282.43588,263.55413818359375,1.680816650390625,0.0
2021-01-07,267.2737121582031,270.1280482329259,263.3353268981961,264.44921118578833,15789800,267.2737121582031,281.17764,256.9205017089844,-10.35321044921875,0.0
2021-01-08,266.1100769042969,267.4825521273833,261.74401529900217,266.84602956262063,18528300,266.1100769042969,280.00385,260.5804138183594,-5.5296630859375,0.0
2021-01-13,250.2670135498047,252.56440741285832,247.8403241302128,250.17750824552502,19528900,250.2670135498047,270.94647,265.0359802246094,14.768966674804688,0.0
2021-01-14,244.29974365234375,253.63850952714714,243.2753647304675,252.01739824228878,29739400,244.29974365234375,267.2673,266.63720703125,22.33746337890625,0.0
2021-01-29,256.9205017089844,265.1056085939196,253.4595085047804,263.8524736193934,30389500,256.9205017089844,281.6346,258.90960693359375,1.989105224609375,0.0
2021-02-01,260.5804138183594,262.7286319289007,253.5191472269724,258.1039792785467,22914300,260.5804138183594,279.58337,264.4093933105469,3.8289794921875,0.0
2021-02-08,265.12548828125,268.3875909210791,263.55412234025806,267.2836618073372,13755200,265.12548828125,278.2175,257.5868835449219,-7.538604736328125,0.0
2021-02-09,267.9798278808594,271.89833271761904,264.3000038338095,264.98624145529215,14613400,267.9798278808594,278.82376,254.01644897460938,-13.96337890625,0.0
2021-02-10,270.38665771484375,272.30612024616755,266.25930640958575,270.96351020006466,14687200,270.38665771484375,279.7482,256.23431396484375,-14.15234375,0.0
2021-02-11,268.9147644042969,272.0873318138882,267.02510653976975,270.40658039140317,12828600,268.9147644042969,280.72305,262.83807373046875,-6.076690673828125,0.0
2021-02-24,262.86785888671875,264.92657175503007,256.9801768216703,260.8986513147166,15736100,262.86785888671875,276.1496,282.4604187011719,19.592559814453125,0.0
