Date,close,high,low,open,volume,adjclose
2020-08-24,269.9092712402344,275.73728365906857,267.30354084655573,269.59100992253883,23685600,269.9092712402344
2020-08-25,279.2878112792969,281.5454148927193,268.785430649952,270.92369385752926,42127200,279.2878112792969
2020-08-26,302.2518310546875,303.007694107932,282.45045896866435,282.45045896866435,69015200,302.2518310546875
2020-08-27,291.6201477050781,299.5864536229766,290.4266829495857,298.52228442362065,30301300,291.6201477050781
2020-08-28,292.0577392578125,295.6082679482802,289.3923691278823,293.39042432277756,17157400,292.0577392578125
2020-08-31,291.6002502441406,295.2601640929733,289.95922871611344,292.34615808376475,17345100,291.6002502441406
2020-09-01,293.8280334472656,299.84501151691796,291.11291784757185,293.1020055203256,17295900,293.8280334472656
2020-09-02,300.8494873046875,301.9434915105543,291.45103663523827,297.2492437507988,24341400,300.8494873046875
2020-09-03,289.5315856933594,295.97624043247043,282.08246235673175,294.37500913471604,32294100,289.5315856933594
2020-09-04,281.1873779296875,287.42315659447024,269.6606189942035,285.68270495419233,30333700,281.1873779296875
2020-09-08,269.6805419921875,277.77611398868805,267.9500452259606,269.7998824104,24864000,269.6805419921875
2020-09-09,272.2265625,276.9606012629098,269.8694982700699,274.26536539185327,22918800,272.2265625
2020-09-10,266.62725830078125,277.63686605394025,265.57304424313634,274.0067870553653,24814700,266.62725830078125
2020-09-11,265.15533447265625,269.90928344921343,261.2070243287369,268.58652306630114,18913900,265.15533447265625
2020-09-14,264.6978454589844,275.13063131485023,264.2503189272326,269.4716742551616,24093800,264.6978454589844
2020-09-15,270.93365478515625,273.0221726341159,267.8306524116736,269.1932030103097,18478500,270.93365478515625
2020-09-16,262.0821838378906,270.9535283144671,260.36164240593354,265.831633568667,29183400,262.0821838378906
2020-09-17,253.42967224121094,260.07321790378904,248.82492933955396,256.8707854788468,31281400,253.42967224121094
2020-09-18,251.15216064453125,257.7857815687826,248.68569611211348,256.99012826731234,28130800,251.15216064453125
2020-09-21,246.79605102539062,248.5862329957065,242.79799566314253,246.18937866810398,24709400,246.79605102539062
2020-09-22,253.3600616455078,253.92695895974708,246.86569111256276,251.9279159837831,30293100,253.3600616455078
2020-09-23,247.6613311767578,256.5823761765556,246.796067647101,253.86727552444327,19641300,247.6613311767578
2020-09-24,248.16854858398438,250.86376934350562,244.2798781294071,245.1550816543651,20006800,248.16854858398438
2020-09-25,253.42967224121094,254.35459074146863,245.26446052003635,248.0392311963443,18351300,253.42967224121094
2020-09-28,255.4187469482422,258.1835775084611,253.4296593408597,257.98465660729556,18826300,255.4187469482422
2020-09-29,260.3616027832031,261.8931782229179,255.4982695392147,256.4033079450816,20200200,260.3616027832031
2020-09-30,260.4710388183594,264.6282249958597,258.68087195611713,260.55061932618884,20142500,260.4710388183594
2020-10-01,265.1752624511719,266.8659689823481,263.35522999719984,263.90224738902083,20009800,265.1752624511719
2020-10-02,258.521728515625,263.7032934300981,257.76586548395323,259.7847882675934,16367600,258.521728515625
2020-10-05,263.2060241699219,263.42482503124535,259.4168145246467,260.769409944938,12822300,263.2060241699219
2020-10-06,257.24871826171875,264.2403603778226,256.83099648638574,260.35169024623855,18696900,257.24871826171875
2020-10-07,256.711669921875,258.760427954206,253.4296871499855,257.7957191447242,23133400,256.711669921875
2020-10-08,262.3208923339844,263.17618546586016,257.7360294598081,258.3327618326189,16312800,262.3208923339844
2020-10-09,263.00714111328125,263.3054921367474,260.73958228172717,263.07673611804296,14107800,263.00714111328125
2020-10-12,274.2454833984375,278.65130563894945,266.4084725252953,268.72577683401994,31019300,274.2454833984375
2020-10-13,274.63336181640625,277.577203205315,271.8983661441686,276.065477081793,18063300,274.63336181640625
2020-10-14,270.3368835449219,277.22906429865594,270.01862226756987,276.1052250293644,15577800,270.3368835449219
2020-10-15,265.2647399902344,267.57208903349226,262.2313933526653,266.1399434446474,15416100,265.2647399902344
2020-10-16,264.47900390625,269.8893241656305,263.852436507117,265.921104439209,16622700,264.47900390625
2020-10-19,259.9737548828125,267.0847373007935,258.4620591655533,264.0812258167801,13587000,259.9737548828125
2020-10-20,266.1001892089844,268.2285279294783,261.4457305907848,261.6247412258523,18763200,266.1001892089844
2020-10-21,277.209228515625,281.50563504012007,274.86208916003835,278.03468658726183,28998600,277.209228515625
2020-10-22,276.6025390625,280.90893105970304,273.5393572664263,278.34299085258226,16720000,276.6025390625
2020-10-23,283.2361755371094,283.6837020968845,275.309659166989,277.2788367321439,17535200,283.2361755371094
2020-10-26,275.5980224609375,283.6737437469619,272.7635968643649,281.6150307622581,21322900,275.5980224609375
2020-10-27,281.744384765625,282.95772968769205,274.80245655890366,277.23910155561146,16287200,281.744384765625
2020-10-28,266.2095642089844,277.2688869035369,265.8017975906153,277.2688869035369,23121800,266.2095642089844
2020-10-29,279.2976989746094,282.05260449818235,272.28617790305685,275.04105307556415,32368100,279.2976989746094
2020-10-30,261.67437744140625,275.19025298700785,257.68627785680263,273.00224471408285,47247800,261.67437744140625
2020-11-02,259.9339599609375,268.9942700041426,255.93590470424766,263.15630259796336,27165700,259.9339599609375
2020-11-03,263.85247802734375,268.5765614359262,259.45661109427283,261.7241699163496,17961900,263.85247802734375
2020-11-04,285.8120422363281,287.36352835411554,277.09982761254304,279.46684704511097,35364400,285.8120422363281
2020-11-05,293.0721435546875,295.7574238071853,287.3734273193078,290.307313157042,23823600,293.0721435546875
2020-11-06,291.80914306640625,292.99265279115843,286.48832688092676,292.34620529596697,13891000,291.80914306640625
2020-11-09,277.2489929199219,290.98364179261284,277.01031209553867,288.2884363137147,25117700,277.2489929199219
2020-11-10,270.9435729980469,272.5050141223477,262.55957565072913,271.60993073011593,29067700,270.9435729980469
2020-11-11,274.9714660644531,276.88097306187024,270.9932910769232,271.9778796739956,14957000,274.9714660644531
2020-11-12,273.5791320800781,278.2236656075154,272.93268459302755,275.66768041222565,12899500,273.5791320800781
2020-11-13,275.4389953613281,276.24457363881675,271.60999457943035,276.204783377277,10391200,275.4389953613281
2020-11-16,277.43792724609375,277.8854840921596,273.1315659885288,273.5492573838603,12970400,277.43792724609375
2020-11-17,273.49957275390625,276.1649431241236,271.7989111816274,276.1649431241236,15040300,273.49957275390625
2020-11-18,270.4861145019531,275.87655596989504,270.3568189345729,273.0221893890794,12152900,270.4861145019531
2020-11-19,271.4507751464844,271.9778821230358,267.7212360620922,269.5412377808062,12963700,271.4507751464844
2020-11-20,268.2284851074219,271.5104676306615,267.94005889625475,271.072865914087,18114700,268.2284851074219
2020-11-23,266.9654541015625,269.47172455144306,263.0867383470759,269.4120543360722,20990800,266.9654541015625
2020-11-24,275.4090881347656,276.30417150302605,266.4084483483564,267.02506066091206,16930400,275.4090881347656
2020-11-25,274.08636474609375,278.6513178545799,271.16240309212395,276.62247004041234,12467000,274.08636474609375
2020-11-27,276.29425048828125,277.6070557778286,273.320573809854,275.8765590286532,7808400,276.29425048828125
2020-11-30,275.45880126953125,276.184829179851,269.53132863871645,274.52392765665263,16693300,275.45880126953125
2020-12-01,284.9865417480469,287.72153746674627,277.4379572065651,277.63687812653535,20738900,284.9865417480469
2020-12-02,285.95123291015625,290.18799936548555,279.2977322166754,283.8030145814429,17361600,285.95123291015625
2020-12-03,280.31219482421875,285.0859932426668,279.5364518224442,284.6881817663078,12921700,280.31219482421875
2020-12-04,278.1739501953125,281.9134147445933,277.7761083412622,278.77065227424356,10880300,278.1739501953125
2020-12-07,284.0218200683594,286.91594632152646,276.6821119311391,277.66670063286153,13007700,284.0218200683594
2020-12-08,281.8537292480469,284.8671959874774,280.0138170016197,284.44950455488254,10747700,281.8537292480469
2020-12-09,276.40362548828125,286.0606372613528,270.2672769047324,282.11229717219766,25189700,276.40362548828125
2020-12-10,275.60797119140625,277.20920248145507,270.3766611253901,274.0366053521869,20065100,275.60797119140625
2020-12-11,272.05743408203125,274.9714703728663,268.77545180632166,273.03209789563164,14391400,272.05743408203125
2020-12-14,272.6940002441406,275.7074671120214,270.0783448746163,271.8784669443133,16376900,272.6940002441406
2020-12-15,274.04656982421875,274.57367689702494,266.01066816408576,273.3304969752111,23979500,274.04656982421875
2020-12-16,274.1659240722656,276.3439472410643,271.02316177715267,273.26088550158784,15885000,274.1659240722656
2020-12-17,272.982421875,278.90989504842014,272.1171431830537,275.5582869459176,16377800,272.982421875
2020-12-18,274.8918762207031,276.4831522318188,269.6605969287105,274.26530882530227,26693200,274.8918762207031
2020-12-21,271.3016052246094,273.17135238015135,266.32888634330305,271.4905709701844,16553700,271.3016052246094
2020-12-22,265.6327209472656,270.0186630949137,263.1861515037109,270.0186630949137,17312900,265.6327209472656
2020-12-23,266.6471862792969,270.68506297869175,264.77746899103687,265.4338716953402,14329000,266.6471862792969
2020-12-24,265.9410400390625,268.9246718203932,264.7476055371734,267.41297597757153,6702000,265.9410400390625
2020-12-28,275.4886169433594,275.78696792597617,264.21049453444874,267.27367590989127,23299700,275.4886169433594
2020-12-29,275.26983642578125,278.9794957891793,274.77256451733444,275.43892222912336,16383000,275.26983642578125
2020-12-30,270.38665771484375,276.56276712056376,270.22752704137156,276.4335019024981,11803800,270.38665771484375
2020-12-31,271.66961669921875,275.57816696114105,268.3378885476556,270.51594212742907,12900400,271.66961669921875
2021-01-04,267.47265625,273.49959024699336,263.7530715349843,273.28078936075286,15106100,267.47265625
2021-01-05,269.4915466308594,270.9137370435657,266.74659590899427,266.8261764131156,9871600,269.4915466308594
2021-01-06,261.8733215332031,266.2890983655577,258.59133918397066,260.5704716032722,24354100,261.8733215332031
2021-01-07,267.2737121582031,270.1280482329259,263.3353268981961,264.44921118578833,15789800,267.2737121582031
2021-01-08,266.1100769042969,267.4825521273833,261.74401529900217,266.84602956262063,18528300,266.1100769042969
2021-01-11,255.43865966796875,262.03249078853037,254.50378594447926,259.05881414634456,30412300,255.43865966796875
2021-01-12,249.7200164794922,258.30293492700355,248.93433350004645,255.22979801325235,26383500,249.7200164794922
