Date,close,high,low,open,volume,returns,log_returns,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,bb_width,volume_sma_5,volume_ratio,volatility_5,volatility_10,volatility_20,momentum_5,momentum_10,target_return,target_direction,avg_textblob_polarity,std_textblob_polarity,article_count,avg_custom_polarity,std_custom_polarity,total_positive_words,total_negative_words,avg_article_length,total_words,sentiment_intensity,sentiment_volatility,pos_neg_ratio,avg_textblob_polarity_lag_1,avg_textblob_polarity_lag_2,avg_textblob_polarity_lag_3,std_textblob_polarity_lag_1,std_textblob_polarity_lag_2,std_textblob_polarity_lag_3,avg_custom_polarity_lag_1,avg_custom_polarity_lag_2,avg_custom_polarity_lag_3,std_custom_polarity_lag_1,std_custom_polarity_lag_2,std_custom_polarity_lag_3,total_positive_words_lag_1,total_positive_words_lag_2,total_positive_words_lag_3,total_negative_words_lag_1,total_negative_words_lag_2,total_negative_words_lag_3,avg_article_length_lag_1,avg_article_length_lag_2,avg_article_length_lag_3,total_words_lag_1,total_words_lag_2,total_words_lag_3,sentiment_intensity_lag_1,sentiment_intensity_lag_2,sentiment_intensity_lag_3,sentiment_volatility_lag_1,sentiment_volatility_lag_2,sentiment_volatility_lag_3,pos_neg_ratio_lag_1,pos_neg_ratio_lag_2,pos_neg_ratio_lag_3
2020-03-16,145.21336364746094,158.26179121723217,142.31925214743302,151.488949020679,39120400,-0.14252982948632542,-0.1537688871200832,162.94407958984374,172.31466674804688,187.27260971069336,203.11310729980468,173.05709406695027,185.80975286243853,-12.752658795488259,-9.233377780181797,-3.5192810153064613,29.8154712930602,187.27260971069336,19.629593600231424,226.53179691115622,148.0134225102305,0.4192731362168991,32461400.0,1.205135946077495,0.10100366799890045,0.07181378923404785,0.052709587367144956,-0.13858396235321546,-0.2567195291967522,0.023354516790111024,1,0.125,0.2079,4.0,0.5,0.5774,4.0,0.0,285.75,160.0,0.125,0.2079,4.0,0.0,0.25,0.0,0.0,0.2593,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,82.0,0.0,0.0,0.25,0.0,0.0,0.2593,0.0,0.0,5.0,0.0
2020-03-17,148.60475158691406,153.10009438113215,139.23614962600035,149.91755685335934,34255600,0.023354516790111024,0.023085973163107374,157.22147521972656,168.68756561279298,183.87226486206055,201.93457275390625,169.2944446218394,182.9983239547068,-13.703879332867388,-10.127488299656324,-3.5763910332110633,31.44032725608359,183.87226486206055,20.162856813571313,224.19797848920317,143.54655123491793,0.43862747497448445,34408960.0,0.9955430213525779,0.09638392555356207,0.07274256739978895,0.052951221469864834,-0.16145684090019896,-0.1961912734035225,-0.016463768568330872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.2079,0.0,0.2593,0.5,0.0,1.0,0.5774,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,285.75,0.0,279.0,160.0,0.0,82.0,0.125,0.0,0.25,0.2079,0.0,0.2593,4.0,0.0,5.0
2020-03-18,146.1581573486328,147.37148677186653,136.35195528801876,138.9874901764282,37553100,-0.016463768568330872,-0.016600802551787305,152.59087829589845,164.2320098876953,180.3650047302246,200.628935546875,165.73441488742895,180.21861091300178,-14.484196025572828,-10.99883780408167,-3.4853582214911576,32.708299388358014,180.3650047302246,20.32477824673242,221.01456122368944,139.71544823675976,0.450747710779762,37844800.0,0.9922922039487592,0.09619829335342683,0.07057321214076351,0.05282053803063989,-0.13674814516074518,-0.2336253443781845,0.04198422716589367,1,0.0667,0.0,1.0,1.0,0.0,2.0,0.0,266.0,40.0,0.0667,0.0,2.0,0.0,0.125,0.0,0.0,0.2079,0.0,0.0,0.5,0.0,0.0,0.5774,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,285.75,0.0,0.0,160.0,0.0,0.0,0.125,0.0,0.0,0.2079,0.0,0.0,4.0,0.0
2020-03-19,152.29449462890625,159.05738022539944,144.00994308011485,145.82000487724827,39862300,0.04198422716589367,0.041126806139731,152.3243377685547,161.04549102783204,177.30926818847655,199.4368753051758,163.66643948199024,178.11454554140548,-14.448106059415238,-11.688696496296425,-2.7594095631188136,34.53371160014605,177.30926818847655,19.679160901561133,216.66758999159882,137.95094638535429,0.4439510940994362,37164000.0,1.0726052093423744,0.0913157884695406,0.0733967257616806,0.054502168980725865,-0.00867491342964799,-0.17303020965376914,-0.02220329249080133,0,0.0969,0.0953,3.0,0.0,0.0,0.0,0.0,285.0,120.0,0.0969,0.0953,0.0,0.0667,0.0,0.125,0.0,0.0,0.2079,1.0,0.0,0.5,0.0,0.0,0.5774,2.0,0.0,4.0,0.0,0.0,0.0,266.0,0.0,285.75,40.0,0.0,160.0,0.0667,0.0,0.125,0.0,0.0,0.2079,2.0,0.0,4.0
2020-03-20,148.91305541992188,158.40101282120025,147.19249870448567,155.16874511316252,32568400,-0.02220329249080133,-0.022453496086870507,148.23676452636718,157.92660369873047,174.30326080322266,198.1342221069336,161.39641374427518,175.91703336065862,-14.520619616383442,-12.255084431421407,-2.265535184962035,31.55358135661656,174.30326080322266,19.163195736313938,212.62965227585053,135.97686933059478,0.439766775400673,36671960.0,0.888100881436389,0.07194143612219063,0.07339820750240841,0.05451205520966362,-0.12068352515663716,-0.1731734552441888,-0.010886278602085464,0,0.0667,0.0,2.0,1.0,0.0,4.0,0.0,267.0,80.0,0.0667,0.0,4.0,0.0969,0.0667,0.0,0.0953,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,285.0,266.0,0.0,120.0,40.0,0.0,0.0969,0.0667,0.0,0.0953,0.0,0.0,0.0,2.0,0.0
2020-03-23,147.2919464111328,151.47896741205886,141.47385897026157,148.84343234855598,29830800,-0.010886278602085464,-0.010945967723209224,148.65248107910156,155.79828033447265,171.68661499023438,196.7378823852539,159.22627377066695,173.76543498549486,-14.539161214827914,-12.711901924549151,-1.8272592902787625,33.9450999205433,171.68661499023438,19.096464571620483,209.87954413347535,133.4936858469934,0.4449144640123915,34814040.0,0.8568611973789885,0.028021536013273885,0.07146301194915299,0.05406766504492193,0.01431399088528873,-0.12625366104189784,0.08696825055617863,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0969,0.0667,0.0,0.0953,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,267.0,285.0,266.0,80.0,120.0,40.0,0.0667,0.0969,0.0667,0.0,0.0953,0.0,4.0,0.0,2.0
2020-03-24,160.10166931152344,160.42987061249212,151.73756682675864,154.36316205897302,30440400,0.08696825055617863,0.08339239939251825,150.95186462402344,154.086669921875,169.90687789916993,195.6025112915039,159.36096166215597,172.7395200108299,-13.37855834867392,-12.84523370822753,-0.5333246404463896,37.65838183693465,169.90687789916993,18.38651622202398,206.6799103432179,133.13384545512196,0.43286102244631525,34051000.0,0.8939649349505154,0.04729656500546354,0.07568817988827149,0.058518660121733755,0.07736574774249538,-0.09658232238208864,-0.029631001342587893,0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,281.0,40.0,0.1,0.0,0.0,0.0,0.0667,0.0969,0.0,0.0,0.0953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,267.0,285.0,0.0,80.0,120.0,0.0,0.0667,0.0969,0.0,0.0,0.0953,0.0,4.0,0.0
2020-03-25,155.35769653320312,162.10070240720506,152.22487440025114,158.05290178248518,35184300,-0.029631001342587893,-0.030078868835600434,152.7917724609375,152.69132537841796,167.86856079101562,194.2956805419922,158.7450296225396,171.4357577743291,-12.6907281517895,-12.81433250444782,0.1236043526583206,38.2161442644844,167.86856079101562,17.568602410284097,203.00576561158383,132.73135597044742,0.4186275816626737,33577240.0,1.0478615871941828,0.049845542377778884,0.07501637769444934,0.05865011708891601,0.062942358821797,-0.08241303715987103,0.045643667027385426,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,281.0,0.0,267.0,40.0,0.0,80.0,0.1,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,4.0
2020-03-26,162.44879150390625,163.10519409789205,156.16328215921695,157.3865668658013,26556800,0.045643667027385426,0.04463264510636157,154.8226318359375,153.5734848022461,166.555265045166,193.18736114501954,159.314874446262,170.7622988636752,-11.447424417413202,-12.540950232420407,1.0935258150072045,42.95243762241231,166.555265045166,16.89717699801708,200.34961904120019,132.76091104913183,0.4058034909538274,30916140.0,0.8589946869175776,0.050396811454163366,0.069831659749293,0.05952443301524601,0.06667540346578393,0.057422086683183604,-0.040100527472411884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,40.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,155.93450927734375,159.21650671674988,153.9056466864661,157.33681961949063,24879900,-0.040100527472411884,-0.040926716120466215,156.22692260742187,152.23184356689453,164.78099670410157,191.90718414306642,158.7947910027992,169.65210281441165,-10.857311811612448,-12.204221903215487,1.3469100916030392,44.743146671093385,164.78099670410157,15.98744281395722,196.755882332016,132.80611107618714,0.38808947958158024,29378440.0,0.8468761445468174,0.054108000914930864,0.06256589591706004,0.059801695511851126,0.0471513651883777,-0.07922255293514069,0.058422161778998394,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,40.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
